avg_datarate_downlink,avg_datarate_uplink,delay_downlink_multicast,delay_downlink_unicast,delay_uplink,gd_downlink_unicast,gd_uplink,occupancy,occupancy_down,occupancy_up,rtx_bytes_unicast_downlink,rtx_bytes_unicast_uplink,rtx_share_downlink,rtx_share_uplink,rx_bytes_downlink_multicast,rx_bytes_downlink_unicast,rx_bytes_uplink,th_multicast_downlink,th_unicast_downlink,th_uplink,time,tx_bytes_multicast_downlink,tx_bytes_unicast_downlink,tx_bytes_uplink,gd_downlink_multicast
1.0886262734721248,0.14461023672566364,-0.22817684158696516,2.058918456678795,0.2981999345609655,1.7729144249893873,1.7758762631875167,1.2746019080976427,0.46224134572861725,1.8082088024912293,1.8878108890577363,0.7864224782802719,1.2617551398376197,0.3045794624251621,-0.5780626165168773,1.487361604899943,1.47923359990988,-0.3046108875644025,1.7728975065041035,1.7756752417636779,-1.1898974714655777,-0.3046162817278925,1.4857344567112136,1.4783858714201057,1.3797831111111116
1.259864343720706,1.710101485212713,-0.5981337840295939,-0.7434299590979042,-1.0930017499645166,-0.4768272105471719,-0.4743673263368839,-1.17267179555435,-1.3188192227071722,-0.6524723656231998,-1.2680007939053544,-1.2056318973134774,-1.9445674888745268,-2.020071546557068,-0.5212431602250752,-0.46826922017632366,-0.464871967107649,-0.3045655786707083,-0.47684935823372204,-0.4744189990412518,0.9278751014713023,-0.30459707134283837,-0.46896387233422193,-0.46558715246107546,1.4538979555555551
0.6904561975057643,0.7132667849916,-0.4707441222826624,-0.8302945748605747,-0.858538690505658,-0.6498460931037143,-0.6474684408767565,-1.2629875040541698,-1.3677991174992987,-0.7622361928422821,-0.8950707220500468,-1.175587882933953,-0.7213273092494843,-1.509278108452775,-0.4723269197821721,-0.6661777371042616,-0.6626918667495915,-0.3045655786707081,-0.6499013571076313,-0.6474759037549938,0.7967718688911457,-0.30459947264097015,-0.6667797218688748,-0.663467254816162,1.4696220444444443
0.838419190244829,0.8627357986662424,-0.5397803246915911,-0.682163079593348,-0.8859659093350966,-0.4768272105471719,-0.4743673263368839,-1.1157899330678724,-1.27939922711326,-0.5930410270678862,-0.7966343469285635,-0.7551916678326268,-0.7571862005780678,-0.7069681837208449,-0.5592316996165694,-0.4687912871948596,-0.4646995712823439,-0.3045655786707081,-0.47684935823372204,-0.47441899904125145,0.7488348226146486,-0.30459947264097015,-0.4689703144482972,-0.46558748898819885,1.3931292444444443
-0.43589130340116417,-1.2590498992113965,-0.5067351472268695,-0.6121553246391521,-0.9605982976962925,-0.47679177038278026,-0.4743673263368839,-0.9160815277619814,-1.1039478131514897,-0.42630970864367346,-0.27671928718571914,-1.043103366098884,-0.9471907687482548,-1.5369709795634503,-0.49922112734430124,-0.4694809312810735,-0.48643006506204894,-0.3045655786707081,-0.47677847885675084,-0.47445444699387657,0.6960264123008041,-0.30459707134283837,-0.4689713881339761,-0.4859177655693305,1.454990222222221
0.22911091115643198,0.8526213541318671,-0.7727655017114807,-0.8439425494682752,-1.1479429004807586,-1.1689736211021289,-1.166771784496379,-1.793353964590137,-1.7455628266159686,-1.3048149665847601,-1.3384606646079291,-1.495896012240844,-1.716785118831746,-2.1278248641025326,-0.4695772387806853,-1.186513125940808,-1.1830169466853728,-0.3046108875644025,-1.1689864743523934,-1.1667529617540997,1.5711775545518178,-0.30457545965965244,-1.1868666227562423,-1.1835220699325142,1.4931285333333306
0.0021789054386526685,-0.517323966690612,-0.5920577439915146,-0.631360235600735,-0.9174819451269987,-0.47679177038278026,-0.4743673263368839,-0.9793991869324443,-1.163136652203642,-0.47514155810546255,-0.7840456303642399,-0.7510729516207401,-0.8964585872794392,-1.14018029211141,-0.5070817294204771,-0.4682778138721019,-0.4647125009692419,-0.3045655786707081,-0.47681391854523625,-0.47441899904125145,0.43777351792078284,-0.30459707134283837,-0.46898319867644733,-0.4655917965353788,1.463148088888889
-0.19981551723321772,-0.6240875478867856,-0.6039523609549249,-0.6876985544379481,-1.0626817594535916,-0.649881533268105,-0.6474684408767565,-1.1371193584330965,-1.2652866317101703,-0.6480218148898719,-0.8593505940108712,-1.3135976944880312,-1.008115921911524,-1.7564387111308737,-0.4487642351183278,-0.6605896864243773,-0.6669004798348517,-0.3045655786707083,-0.6499013571076313,-0.6475113517076185,1.235406432212864,-0.30459707134283837,-0.6605008080169497,-0.6673307881095035,1.498453333333331
-0.5123665580752881,-1.347832245679793,-0.5217522027091723,-0.628470530426946,-0.6817874408930854,-0.6498460931037143,-0.6474684408767565,-1.0468882513528168,-1.1972531483467852,-0.5599748358699265,-0.45682291854871915,-0.19035758252755755,0.6167306552330278,-0.30671561932901664,-0.4995483792655988,-0.6579729060598641,-0.6554878761996555,-0.3045655786707081,-0.6498659174191459,-0.6475113517076185,0.9784949279599666,-0.30459947264097015,-0.6584006117230919,-0.655063566795095,1.4542165333333334
-0.24220940841126468,-0.7578229811746237,-0.5638781200805051,-0.6496843079041771,-0.9833187769791042,-0.6498106529393233,-0.6474684408767565,-1.1294872433061287,-1.256007227909082,-0.6445650314200051,-0.2649413422229212,0.24172354122917997,-0.15970905425050527,-1.026977577888448,-0.5418086762073862,-0.6548061291655354,-0.6505918347609914,-0.3045655786707081,-0.6498659174191459,-0.6474759037549934,0.7951480808646698,-0.30460187393910193,-0.6545555419898345,-0.650847958825213,1.4109582222222226
